Date,context.userId
2025-11-26T07:40:48.598Z,20858515
2025-11-26T07:40:36.671Z,1143457
2025-11-26T07:40:11.433Z,31810448
2025-11-26T07:38:28.309Z,10762673
2025-11-26T07:36:54.593Z,46846547
2025-11-26T07:36:37.630Z,46051571
2025-11-26T07:34:42.246Z,19299193
2025-11-26T07:34:00.014Z,3460754
2025-11-26T07:33:08.270Z,16869176
2025-11-26T07:30:16.535Z,14347196
2025-11-26T07:28:49.430Z,17499234
2025-11-26T07:27:56.597Z,15691530
2025-11-26T07:26:09.522Z,45367183
2025-11-26T07:25:28.120Z,12397068
2025-11-26T07:22:56.291Z,44934531
2025-11-26T07:19:26.807Z,36301057
2025-11-26T07:19:06.693Z,39209500
2025-11-26T07:18:37.924Z,37426309
2025-11-26T07:15:49.890Z,30645312
2025-11-26T07:15:22.155Z,8228941
2025-11-26T07:14:43.875Z,12960286
2025-11-26T07:14:40.416Z,31717328
2025-11-26T07:14:06.588Z,14140474
2025-11-26T07:13:38.807Z,29625112
2025-11-26T07:09:50.941Z,10839719
2025-11-26T07:08:27.104Z,21096203
2025-11-26T07:08:27.104Z,21096203
2025-11-26T07:06:57.339Z,10578815
2025-11-26T07:06:29.177Z,46850903
2025-11-26T07:06:21.326Z,15722051
2025-11-26T07:05:15.900Z,112608
2025-11-26T07:05:10.689Z,3263188
2025-11-26T07:04:24.646Z,11319944
2025-11-26T07:04:20.784Z,12382544
2025-11-26T07:04:03.298Z,43728640
2025-11-26T07:03:48.211Z,40313725
2025-11-26T07:02:51.677Z,46527244
2025-11-26T07:02:44.433Z,10715987
2025-11-26T07:02:25.358Z,46051571
2025-11-26T07:01:09.747Z,35456471
2025-11-26T07:00:40.859Z,27724138
2025-11-26T07:00:31.062Z,3173574
2025-11-26T06:59:02.921Z,28469902
2025-11-26T06:55:25.548Z,17254200
2025-11-26T06:54:21.680Z,16229410
2025-11-26T06:52:33.759Z,7118052
2025-11-26T06:49:20.258Z,10703183
2025-11-26T06:48:00.002Z,18007707
2025-11-26T06:47:14.809Z,10610878
2025-11-26T06:47:01.736Z,37770141
2025-11-26T06:45:44.538Z,44074968
2025-11-26T06:43:27.359Z,3263188
2025-11-26T06:42:59.043Z,
2025-11-26T06:41:56.274Z,39842649
2025-11-26T06:40:14.055Z,21354918
2025-11-26T06:39:54.143Z,12444607
2025-11-26T06:37:39.183Z,14524990
2025-11-26T06:36:59.647Z,35329228
2025-11-26T06:34:24.598Z,10631676
2025-11-26T06:32:42.379Z,29811723
2025-11-26T06:32:04.659Z,
2025-11-26T06:31:57.111Z,45035965
2025-11-26T06:31:38.163Z,30331978
2025-11-26T06:31:37.398Z,1132936
2025-11-26T06:30:33.039Z,20915349
2025-11-26T06:29:35.386Z,8533594
2025-11-26T06:28:51.247Z,38761050
2025-11-26T06:28:26.599Z,10610878
2025-11-26T06:26:14.443Z,40212907
2025-11-26T06:23:29.390Z,45878012
2025-11-26T06:23:13.682Z,40422799
2025-11-26T06:22:49.452Z,17630898
2025-11-26T06:22:05.395Z,27053953
2025-11-26T06:20:13.314Z,10685330
2025-11-26T06:20:12.309Z,44476147
2025-11-26T06:20:07.412Z,14524990
2025-11-26T06:19:22.497Z,29625112
2025-11-26T06:19:15.001Z,42717089
2025-11-26T06:18:50.624Z,13340934
2025-11-26T06:17:46.912Z,12382544
2025-11-26T06:16:15.905Z,11210192
2025-11-26T06:15:22.649Z,10856711
2025-11-26T06:14:18.520Z,44774335
2025-11-26T06:14:04.979Z,12290194
2025-11-26T06:13:58.170Z,15624076
2025-11-26T06:13:04.886Z,36552342
2025-11-26T06:13:04.159Z,14178258
2025-11-26T06:09:52.700Z,32033122
2025-11-26T06:09:34.107Z,
2025-11-26T06:09:08.178Z,
2025-11-26T06:08:00.172Z,17770169
2025-11-26T06:07:48.047Z,14130142
2025-11-26T06:06:31.184Z,22521226
2025-11-26T06:05:57.985Z,8550263
2025-11-26T06:05:26.939Z,18850822
2025-11-26T06:04:55.609Z,46283150
2025-11-26T06:04:38.497Z,22740240
2025-11-26T06:04:25.825Z,29782091
2025-11-26T06:03:55.539Z,42190650
2025-11-26T06:03:26.456Z,37981603
2025-11-26T06:03:25.988Z,44934531
2025-11-26T06:03:02.031Z,45664016
2025-11-26T06:01:12.082Z,20915349
2025-11-26T05:59:10.544Z,43247283
2025-11-26T05:57:50.708Z,11046869
2025-11-26T05:57:27.894Z,13238915
2025-11-26T05:56:34.821Z,
2025-11-26T05:56:26.336Z,12391299
2025-11-26T05:53:39.243Z,29788226
2025-11-26T05:52:21.606Z,15488272
2025-11-26T05:52:12.226Z,20731675
2025-11-26T05:51:36.538Z,44629800
2025-11-26T05:49:28.851Z,46834612
2025-11-26T05:48:58.925Z,17499234
2025-11-26T05:46:07.651Z,10908441
2025-11-26T05:45:47.948Z,29782091
2025-11-26T05:43:48.907Z,36630635
2025-11-26T05:43:26.351Z,43673075
2025-11-26T05:40:37.353Z,42678296
2025-11-26T05:40:18.964Z,10497717
2025-11-26T05:39:46.592Z,18837652
2025-11-26T05:38:11.324Z,1832653
2025-11-26T05:37:23.980Z,10859028
2025-11-26T05:36:31.637Z,21622905
2025-11-26T05:36:13.519Z,704599
2025-11-26T05:36:03.396Z,4718448
2025-11-26T05:34:59.011Z,22630498
2025-11-26T05:34:58.895Z,22630498
2025-11-26T05:34:40.382Z,12386512
2025-11-26T05:34:08.108Z,29862564
2025-11-26T05:34:04.617Z,19749456
2025-11-26T05:33:32.406Z,12505688
2025-11-26T05:32:21.633Z,18905865
2025-11-26T05:29:31.492Z,44723120
2025-11-26T05:27:15.949Z,14586294
2025-11-26T05:26:16.849Z,14683689
2025-11-26T05:25:47.616Z,19334226
2025-11-26T05:24:58.136Z,22203820
2025-11-26T05:23:59.394Z,45160648
2025-11-26T05:23:17.292Z,22389107
2025-11-26T05:23:13.437Z,8362248
